	also	bpd	corn	crude	dlrs	grain	last	market	mln	oil	opec	pct	price	prices	production	said	tonnes	wheat	would	year
grain_article176.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3239292917309539	0.0	0.9460812935253939	0.0	0.0
grain_article286.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2249360159071856	0.4267636528552714	0.8759432477903051	0.0	0.0
grain_article546.txt	0.0	0.0	0.12998625995825416	0.0	0.0	0.23656800351764015	0.09804020131542855	0.0	0.0870386926860582	0.0	0.0	0.0	0.24127781619885635	0.41802406961381183	0.0	0.16391515359261688	0.10366359728771711	0.7447025916431123	0.29119780302949344	0.0
grain_article342.txt	0.0	0.0	0.0	0.0	0.0	0.7104099463534036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32815639686048464	0.6226002628667116	0.0	0.0	0.0
grain_article294.txt	0.0	0.0	0.0	0.0	0.0	0.9970495664659592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07676041955358853	0.0	0.0	0.0	0.0
grain_article040.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1468357619232322	0.0	0.0	0.0	0.0	0.0	0.9727424799099382	0.0	0.0	0.17947514256600353	0.0	0.0
grain_article061.txt	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grain_article285.txt	0.0	0.0	0.8571167947090671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24018680657593064	0.45569847286831144	0.0	0.0	0.0
grain_article171.txt	0.0797484466274385	0.0	0.0	0.0	0.0	0.0	0.0724701336142862	0.0	0.7720554144858277	0.0	0.0	0.0	0.0	0.07724958683385838	0.08524389071143293	0.4442683788612058	0.15325376010210565	0.15727861951430072	0.35874983613164324	0.06917778448120133
grain_article442.txt	0.0	0.0	0.7197976637787764	0.0	0.1748315906310808	0.4366643477330951	0.0	0.0	0.16065864108484507	0.0	0.0	0.0	0.0	0.385800710536575	0.21286297411598956	0.20170635240267662	0.0	0.0	0.0	0.0
grain_article384.txt	0.0	0.0	0.0	0.0	0.0	0.10072121139858986	0.3339328293064031	0.0	0.5929216080304394	0.0	0.0	0.0	0.0	0.0	0.09819815483527376	0.0	0.7061731386493866	0.13588484261845168	0.0	0.0
grain_article050.txt	0.0	0.0	0.07680544547030288	0.0	0.0	0.6290180135202387	0.11585872750624526	0.0	0.46285976766676645	0.0	0.0	0.0	0.0	0.0	0.0	0.22599064128111412	0.5512687182602831	0.12572145111426725	0.0	0.0
grain_article534.txt	0.0	0.0	0.0	0.0	0.3426673066528808	0.0855855600288956	0.07093795788238068	0.0	0.6927547818511424	0.0	0.0	0.36526097355844916	0.0	0.0	0.0	0.31627315069597955	0.15001364337620757	0.0	0.14046603474621253	0.3385760807371048
grain_article166.txt	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grain_article461.txt	0.0	0.0	0.0	0.0	0.3373640249524662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5838344202505085	0.7384598055403045	0.0	0.0	0.0
grain_article402.txt	0.0	0.0	0.0	0.0	0.11878017309807977	0.2966687348795214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068519411643198	0.7799976616393267	0.5336550105536602	0.0	0.0
grain_article356.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24361801212953665	0.0	0.0	0.7064734165669195	0.0	0.0	0.0	0.22939616074068975	0.4352257379230322	0.44665594626860217	0.0	0.0
grain_article179.txt	0.0	0.0	0.3707240277477528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8638400230042828	0.0	0.0	0.0	0.1558300237995981	0.0	0.30341574380552555	0.0	0.0
grain_article359.txt	0.0	0.0	0.9394614610124186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18882644947621394	0.208367473306968	0.09872323539275757	0.0	0.0	0.0	0.1690959908214119
grain_article427.txt	0.0	0.0	0.4369379997658466	0.0	0.0	0.3976018322967131	0.0	0.0	0.09752444167738501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6969131177706623	0.23840531549622765	0.0	0.31458220294980266
grain_article241.txt	0.08087059087912846	0.0	0.0	0.0	0.1419977379792747	0.3546575845387972	0.0	0.09277160626156862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4505197007192442	0.0	0.7974584729026502	0.0	0.0
grain_article368.txt	0.06097617440622615	0.0	0.955066494116128	0.0	0.0	0.06685267936786483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23626212064522345	0.0	0.1544047524562272	0.0	0.0	0.0	0.0
